p,d,q,P,D,Q,Time,AIC
(0, 0, 0),(0, 0, 0, 24),0.02093362808227539,864.6912085033924
(0, 0, 0),(0, 0, 1, 24),0.3337113857269287,3143.7213897718348
(0, 0, 0),(0, 1, 0, 24),0.03872799873352051,516.9130088161569
(0, 0, 0),(0, 1, 1, 24),0.3638267517089844,316.05746581064295
(0, 0, 0),(1, 0, 0, 24),0.09092926979064941,523.6978767267321
(0, 0, 0),(1, 0, 1, 24),0.5116853713989258,1667.1903174140639
(0, 0, 0),(1, 1, 0, 24),0.09417939186096191,332.21840834970214
(0, 0, 0),(1, 1, 1, 24),0.7502501010894775,319.9834437500467
(0, 0, 1),(0, 0, 0, 24),0.04298830032348633,773.3990149969463
(0, 0, 1),(0, 0, 1, 24),0.9904229640960693,1177.587142905711
(0, 0, 1),(0, 1, 0, 24),0.08155274391174316,505.00522918213835
(0, 0, 1),(0, 1, 1, 24),0.6207036972045898,307.04944404281736
(0, 0, 1),(1, 0, 0, 24),0.24810457229614258,516.7394976782418
(0, 0, 1),(1, 0, 1, 24),1.1990747451782227,1673.7660784710738
(0, 0, 1),(1, 1, 0, 24),0.39128828048706055,327.58595379671215
(0, 0, 1),(1, 1, 1, 24),0.9435262680053711,315.0264585515883
(0, 1, 0),(0, 0, 0, 24),0.02178335189819336,680.4080806984147
(0, 1, 0),(0, 0, 1, 24),0.4008147716522217,2789.4831143657048
(0, 1, 0),(0, 1, 0, 24),0.03873896598815918,526.2951593391653
(0, 1, 0),(1, 0, 0, 24),0.030054092407226562,507.35718446138316
(0, 1, 0),(1, 0, 1, 24),0.710068941116333,2673.9116083257613
(0, 1, 0),(1, 1, 0, 24),0.11455941200256348,335.44334076829904
(0, 1, 0),(1, 1, 1, 24),0.6286146640777588,331.3804751632453
(0, 1, 1),(0, 0, 0, 24),0.034255027770996094,674.552735165116
(0, 1, 1),(0, 0, 1, 24),0.8111717700958252,2202.3359111254385
(0, 1, 1),(0, 1, 0, 24),0.08815598487854004,505.39297027991694
(0, 1, 1),(0, 1, 1, 24),0.6086769104003906,306.6405571094114
(0, 1, 1),(1, 0, 0, 24),0.12195825576782227,506.2775119548989
(0, 1, 1),(1, 0, 1, 24),1.009035587310791,2149.394562794554
(0, 1, 1),(1, 1, 0, 24),0.4279623031616211,327.16505760272673
(0, 1, 1),(1, 1, 1, 24),1.1937649250030518,311.89083180113306
(1, 0, 0),(0, 0, 0, 24),0.03308844566345215,684.9160728427788
(1, 0, 0),(0, 0, 1, 24),0.5318758487701416,2573.225352748115
(1, 0, 0),(0, 1, 0, 24),0.029665231704711914,508.1648435368962
(1, 0, 0),(0, 1, 1, 24),0.5992610454559326,312.1829769664736
(1, 0, 0),(1, 0, 0, 24),0.13831567764282227,504.05883457653005
(1, 0, 0),(1, 1, 0, 24),0.3710927963256836,320.4603346449742
(1, 0, 0),(1, 1, 1, 24),0.8118765354156494,320.29080754682394
(1, 0, 1),(0, 0, 0, 24),0.0479733943939209,678.1749927786994
(1, 0, 1),(0, 0, 1, 24),0.8546116352081299,1808.8907963785853
(1, 0, 1),(0, 1, 0, 24),0.10017013549804688,503.12718376171125
(1, 0, 1),(0, 1, 1, 24),0.9432299137115479,308.7038476349373
(1, 0, 1),(1, 0, 0, 24),0.15750479698181152,503.6436533016691
(1, 0, 1),(1, 0, 1, 24),1.036698818206787,1452.2778248754687
(1, 0, 1),(1, 1, 0, 24),0.49848031997680664,322.38299045846225
(1, 0, 1),(1, 1, 1, 24),1.2595179080963135,315.7295113533284
(1, 1, 0),(0, 0, 0, 24),0.0218963623046875,680.5614266788785
(1, 1, 0),(0, 0, 1, 24),0.6603329181671143,2243.4377258448762
(1, 1, 0),(0, 1, 0, 24),0.03437471389770508,515.7900179825713
(1, 1, 0),(0, 1, 1, 24),0.593792200088501,320.0086072486132
(1, 1, 0),(1, 0, 0, 24),0.10385990142822266,500.6410231100179
(1, 1, 0),(1, 0, 1, 24),0.9706559181213379,2190.921610726991
(1, 1, 0),(1, 1, 0, 24),0.3783602714538574,325.77306519702154
(1, 1, 0),(1, 1, 1, 24),0.834052324295044,325.67084295659765
(1, 1, 1),(0, 0, 0, 24),0.04652094841003418,676.3313847432163
(1, 1, 1),(0, 0, 1, 24),1.040973424911499,2423.783529633828
(1, 1, 1),(0, 1, 0, 24),0.2247755527496338,500.67201808429763
(1, 1, 1),(0, 1, 1, 24),1.265030860900879,304.74149330651625
(1, 1, 1),(1, 0, 0, 24),0.17116260528564453,502.11191838321827
(1, 1, 1),(1, 0, 1, 24),1.2758119106292725,2372.1952752405687
(1, 1, 1),(1, 1, 0, 24),1.1879658699035645,319.2052770337307
(1, 1, 1),(1, 1, 1, 24),1.7228567600250244,313.400731203596
